key,label,question_filter,start,end,resolution,notes,polymarket_url
israel_idf,CONFIRMED,"question LIKE '%Israel strikes Iran%' OR question LIKE '%Israel strike%Iran%'",2025-06-11,2025-06-25,2025-06-14T23:59:00,"IDF reservist + civilian indicted Feb 2026 in Tel Aviv District Court. Account ricosuave666 placed 7 bets on Israel strike timing and won all. Profit ~$150K. Charges: severe security offenses bribery obstruction of justice. First criminal prosecution worldwide tied to prediction market insider trading.",https://polymarket.com/event/israel-strike-on-iran-on
venezuela_maduro,SUSPECTED,"question LIKE '%Maduro out%' OR question LIKE '%Maduro%custody%'",2026-01-02,2026-01-04,2026-01-04T06:00:00,"Account Burdensome-Mix created Dec 27 2025 bet only on Venezuela intervention + Maduro ouster. Placed ~$32K at ~7c hours before U.S. raid on Caracas. Payout >$400K. Blockchain analysis flagged wallets with domain names resembling Steve Witkoff (WLFI co-founder / US envoy). No confirmed link. Prompted Torres bill.",https://polymarket.com/event/maduro-out-in-2025/maduro-out-by-january-31-2026-318
iran_khamenei_strikes,SUSPECTED,"question LIKE '%US strikes Iran by%' OR question LIKE '%Khamenei out%Supreme Leader%'",2026-02-26,2026-02-28,2026-02-28T23:59:00,"User Magamyman made $553K on Iran bets. Snopes confirmed 6 new accounts funded within 24hr of attack collectively won $1.2M. Bubblemaps identified coordinated accounts. $529M total volume on Iran strike timing markets. Magamyman had lost on previous date predictions suggesting fishing pattern until real intel obtained.",https://polymarket.com/event/us-strikes-iran-by
google_alpharaccoon,SUSPECTED,"question LIKE '%Searched Person on Google%' OR question LIKE '%Searched%Google%2025%'",2025-12-03,2025-12-05,2025-12-05T23:59:00,"Wallet 0xafEe (formerly AlphaRaccoon) deposited $3M and went 22/23 on Google Year in Search markets. Profit ~$1.15M in <24hr. Exposed by Meta engineer Jeong Haeju on X. Compound AI found coordinated second account yicici. Google reportedly pushed Year in Search data early by accident.",https://polymarket.com/event/1-searched-person-on-google-this-year
nobel_peace_prize,SUSPECTED,"question LIKE '%Nobel Peace Prize%2025%'",2025-10-09,2025-10-10,2025-10-10T09:00:00,"Machado odds surged from ~3-4% to >70% in 11 hours before announcement. Accounts flagged: 6741 ($53.5K profit) dirtycup ($31K profit) betmoar ($80K). Norwegian Nobel Institute launched formal investigation. Director Harpviken said Institute likely fell prey to systematic espionage possibly cyber breach.",https://polymarket.com/event/nobel-peace-prize-winner-2025
superbowl_halftime,SUSPECTED,"question LIKE '%perform%Super Bowl%halftime%' OR question LIKE '%perform%Big Game halftime%'",2026-02-07,2026-02-08,2026-02-08T23:59:00,"Day-old account correctly predicted 17/~20 Super Bowl LX halftime bets including Lady Gaga + Ricky Martin + Cardi B surprise appearances. Wagered ~$70K profit ~$17K. Account created day before Super Bowl and only traded halftime markets. iGamingToday noted $9.96M and $9.95M volume on Gaga and Martin contracts respectively.",https://polymarket.com/event/who-will-perform-at-super-bowl-halftime-show
tate_posts,SUSPECTED,"question LIKE '%Andrew Tate%posts%'",2026-02-21,2026-03-10,2026-03-10T12:00:00,"On-chain analysis by @Euanker showed 7 linked accounts tied to Gnosis Safe wallet associated with Tate coordinated bets on his weekly X post count. Self-resolving market. Profit ~$52K across 6 low-liquidity bins.",https://polymarket.com/event/andrew-tate-of-tweets-march-10-march-17-2026
openai_browser,SUSPECTED,"question LIKE '%OpenAI%browser%' OR question LIKE '%ChatGPT%browser%'",2025-10-01,2025-10-31,2025-10-31T23:59:00,"Brand new wallet bet $40K on OpenAI browser launch. Won $7K. Polysights Insider Finder caught it in real time. Unusual Whales data showed 13 zero-activity wallets opened within 40hr of unveiling collectively betting $309K on launch date. Sam Altman teased product minutes after bet placed.",
openai_gpt52,SUSPECTED,"question LIKE '%GPT%release%' OR question LIKE '%OpenAI%model%release%'",2025-12-08,2025-12-11,2025-12-11T23:59:00,"Per The Information (Dec 12 2025) handful of accounts bet OpenAI would release new LLM by Dec 13. On Dec 11 OpenAI released GPT-5.2 and four accounts profited. Compound AI found accounts oddly good at predicting OpenAI launch dates with at least one exclusively trading OpenAI events.",
openai_employee_fired,CONFIRMED,"question LIKE '%OpenAI%'",2025-08-01,2026-02-25,2026-02-25T23:59:00,"Per Wired OpenAI fired employee for using confidential info on prediction markets. Unusual Whales flagged 60 wallets with 77 positions on Sora GPT-5 and other products. OpenAI policy explicitly prohibits using confidential information for personal gain including prediction markets.",
kalshi_mrbeast,CONFIRMED,"question LIKE '%MrBeast%'",2025-08-01,2025-09-30,2025-09-30T23:59:00,"PLATFORM: KALSHI. Artem Kaptur MrBeast video editor traded ~$4K on streaming markets using non-public info. Near-perfect success on low-odds markets. Fined $20K suspended 2yr. Reported to CFTC. First public enforcement by a prediction market.",
kalshi_langford,CONFIRMED,"question LIKE '%California%governor%'",2025-05-01,2025-12-31,2025-12-31T23:59:00,"PLATFORM: KALSHI. Kyle Langford CA gubernatorial candidate bet ~$200 on himself then promoted on social media boosting odds from near-zero to ~20%. Banned 5yr fined $2246. Self-resolving market.",
zachxbt_axiom,SUSPECTED,"question LIKE '%ZachXBT%insider%' OR question LIKE '%ZachXBT%expose%'",2026-02-23,2026-02-27,2026-02-27T12:00:00,"Meta-case: ~$40M volume. Lookonchain found 12 wallets netting $1M+ betting on Axiom before ZachXBT reveal. Largest holder predictorxyz made $411K (~7x). Axiom employees knew investigation was coming. CoinDesk: insider trading on a market designed to catch insider trading.",https://polymarket.com/event/which-crypto-company-will-zachxbt-expose-for-insider-trading
kpmg_earnings,POSSIBLE,"question LIKE '%earnings%' OR question LIKE '%beat estimates%'",2025-12-01,2026-02-27,2026-02-27T23:59:00,"Cluster of wallets making accurate bets on KPMG-audited company earnings ($HD $DASH $KMX $THO $SNEX $WFC $FIVE). Wallet switching to avoid detection. Multiple wallet addresses identified by Matt Lamers at eventwaves.substack.com. Flagged by @itslirrato on X with detailed on-chain evidence.",
google_gemini,POSSIBLE,"question LIKE '%Gemini%3%' OR question LIKE '%Gemini%release%'",2025-11-01,2025-11-30,2025-11-30T23:59:00,"Same wallet as AlphaRaccoon (0xafEe) made $150K+ predicting exact Gemini 3.0 launch date in Nov 2025. Precursor to larger $1.15M Year in Search trades. Separate market and time period.",
isw_myrnohrad,CONFIRMED,"question LIKE '%Myrnohrad%' OR question LIKE '%Russia capture%'",2025-11-14,2025-11-16,2025-11-15T23:59:00,"ISW analyst made unauthorized edit to Ukraine war map showing fake Russian advance on Myrnohrad coinciding with Polymarket bet resolution. $1.3M in bets. Some bettors stood to gain up to 33000%. ISW fired the analyst. Also suspected similar manipulation on Kupiansk railway map Oct 29. Resolution source manipulation not insider trading per se but related attack vector.",
spotify_wrapped,POSSIBLE,"question LIKE '%Spotify%' OR question LIKE '%most streamed%artist%'",2025-12-01,2025-12-03,2025-12-02T23:59:00,"Hours before Spotify 2025 Wrapped announcement odds on The Weeknd finishing third surged from 40% to 99%. Polymarket tweeted it as proof prediction markets work. @FhantomBets compared it to Nobel Prize insider incident. Analysis by Itay Yakobov described it as $3.16M Backend Heist - traders scraped publicly accessible WordPress staging API on Spotify newsroom. Grey area: exploit of leaked data vs true insider.",
portugal_election,POSSIBLE,"question LIKE '%Portugal%president%' OR question LIKE '%Seguro%' OR question LIKE '%Ventura%'",2026-01-19,2026-01-19,2026-01-19T20:00:00,"During Portugal presidential election Seguro odds surged from 60% to 96% one hour before polls closed and before any public results. Over 5M euros traded between 6-8PM. Portugal gaming regulator SRIJ banned Polymarket within days citing illegal activity. Suspected leak of exit polls. Led to Portugal joining France Singapore etc in banning Polymarket.",
monad_airdrop,POSSIBLE,"question LIKE '%Monad%airdrop%'",2025-09-01,2025-10-31,2025-10-31T23:59:00,"Bitget analysis identified possible insider traders in Monad airdrop market using Hashdive tool. New wallet placed $100K betting No on airdrop before Oct 31 - only market traded. Suspected project team member or close associate. Highlighted by Bitget as textbook insider pattern. No confirmation.",https://polymarket.com/event/monad-airdrop-by
trump_2024_french,POSSIBLE,"question LIKE '%Presidential Election Winner%' OR question LIKE '%Trump%win%president%'",2024-10-01,2024-11-05,2024-11-05T23:59:00,"Four accounts with ~$30M in Trump wagers behaved identically. WSJ reported potential market manipulation. Polymarket investigated confirmed single French trader with financial services background. No manipulation found. Trader won $85M. Included as training data for coordinated multi-account pattern even though cleared.",
coinbase_armstrong,POSSIBLE,"question LIKE '%Coinbase%say%' OR question LIKE '%Coinbase%earnings%mention%'",2025-10-30,2025-10-31,2025-10-31T23:59:00,"CEO Brian Armstrong deliberately said crypto buzzwords (Bitcoin Ethereum blockchain staking Web3) at end of Q3 earnings call to resolve $84K in mention market bets across Kalshi and Polymarket. Self-resolving manipulation by the subject of the market. Armstrong said it happened spontaneously. Jeff Dorman CIO at Arca called it market manipulation. Coinbase prohibits employees from prediction market trading but apparently not the CEO. Demonstrates how easily mention markets can be gamed by insiders.",
